no_1,obs_code,manageme_1,name_K_1,name_E_1,watershe_1,address_1,long,lat_1,start_1,Ele,level_1,remark_1
411,20224030,환경부,김해시(전하동),Gimhaesi(Jeonhadong),서낙동강,경상남도 김해시 전하동 1227-2,128.863056,35.200278,1988-01-01,6.6,최적(A),
412,20224040,환경부,양산시(양산교),Yangsansi(Yangsangyo),낙동강,경상남도 양산시 신기동 600 (양산교),129.036111,35.3575,1996-06-01,16.1,우수(B),
413,20224050,환경부,밀양시(삼랑진교),Miryangsi(Samnangjin),낙동강,경상남도 밀양시 삼랑진읍 삼랑리 854 (삼랑진교),128.821667,35.3825,1996-10-15,15.6,최적(A),
414,20224060,환경부,부산시(구포대교),Busansi(Gupodaegyo),낙동강,부산광역시 북구 구포동 1065-1 (구포대교),128.993611,35.203611,2006-01-25,11.8,우수(B),일시운영중지(6.11)
415,21014010,환경부,포항시(현내리),Pohangsi(Hyeonnaeri),형산강,경상북도 포항시 북구 기계면 현내리 1112,129.195278,36.075556,1962-11-01,53.8,최적(A),
416,21014020,환경부,경주시(시래동),Gyeongjusi(Siraedong),형산강,경상북도 경주시 시래동 945-49 (시래교 인근),129.303889,35.772778,1962-01-01,98,최적(A),
417,21014030,수자원공사,경주시(안계댐),Gyeongjusi(Angyedam),형산강,경상북도 경주시 강동면 안계리 산74-3,129.268889,36.01,1995-09-01,46.9,우수(B),
418,21014040,환경부,경주시(신평리),Gyeongjusi(Sinpyeongri),형산강,경상북도 경주시 건천읍 신평리 1267,129.085,35.858611,1998-06-01,105,최적(A),
419,21014050,환경부,포항시(용기리),Pohangsi(Yonggiri),형산강,경상북도 포항시 북구 기북면 관천리 593,129.155,36.118333,1998-06-01,106.9,최적(A),
420,21014060,환경부,경주시(옥산리),Gyeongjusi(Oksanri),형산강,경상북도 경주시 안강읍 옥산리 464-2,129.179167,35.995,1998-06-01,45.8,최적(A),
421,21014070,환경부,경주시(서천교),Gyeongjusi(Seocheongyo),형산강,경상북도 경주시 서악동 1491-1 (서천교),129.201667,35.838056,1998-06-01,38.6,최적(A),
422,21014080,환경부,경주시(검단리),Gyeongjusi(Geomdanri),형산강,경상북도 경주시 안강읍 검단리 1468-28,129.207778,35.932778,1998-06-01,38.9,우수(B),
423,21014090,환경부,울산시(봉월초교),Ulsansi(Bongwolchogyo),형산강,울산광역시 울주군 두동면 봉계리 1030-3 (봉월초교),129.206944,35.701389,1998-06-01,92.8,최적(A),
424,21014100,환경부,경주시(달성교),Gyeongjusi(Dalseonggyo),형산강,경상북도 경주시 안강읍 노당리 1503 (달성교),129.238333,36.051944,1998-06-01,31.2,최적(A),
425,21014110,환경부,경주시(화산리),Gyeongjusi(Hwasanri),형산강,경상북도 경주시 천북면 화산리 산86-2,129.290278,35.9225,1998-06-01,94.7,최적(A),
426,21014120,환경부,경주시(영지초교),Gyeongjusi(Yeongjichogyo),형산강,경상북도 경주시 외동읍 방어리 634 (영지초교),129.294444,35.754167,1998-06-01,90.7,최적(A),
427,21014130,환경부,경주시(덕동),Gyeongjusi(Deokdong),형산강,경상북도 경주시 덕동 산44-4,129.321389,35.843333,1998-06-01,267.5,우수(B),
428,21014140,환경부,경주시(국당리),Gyeongjusi(Gukdangri),형산강,경상북도 경주시 강동면 국당리 산92,129.296111,35.994167,1998-06-01,19,우수(B),"관측방법 변경(수위제어식→전도형), 일시운영중지(8."
429,22014010,환경부,울산시(덕현리),Ulsansi(Deokhyeonri),태화강,울산광역시 울주군 상북면 덕현리 1199-1 (가지산터널,129.041111,35.608333,1962-04-01,302.1,최적(A),관측방법 변경(수위제어식→전도형)
430,22014020,환경부,울산시(신답교),Ulsansi(Sindapgyo),태화강,울산광역시 북구 상안동 320-1 (신답교),129.345833,35.629722,1962-04-01,30.1,최적(A),관측방법 변경(수위제어식→전도형)
431,22014030,환경부,울산시(삼동초교),Ulsansi(Samdongchogyo),태화강,울산광역시 울주군 삼동면 하잠리 953-2 (삼동초교),129.158611,35.523611,1962-09-01,57.3,최적(A),
432,22014050,환경부,경주시(연안리),Gyeongjusi(Yeonanri),태화강,경상북도 경주시 외동읍 연안리 80-7,129.323333,35.721944,1962-09-01,97.7,우수(B),
433,22014054,수자원공사,울산시(사연댐),Ulsansi(Sayeondam),태화강,울산광역시 울주군 범서읍 사연리 산96-2,129.196111,35.5775,1965-01-01,44,우수(B),
434,22014060,수자원공사,울산시(대암댐),Ulsansi(Daeamdam),태화강,울산광역시 울주군 언양읍 구수리 산177-13,129.182778,35.545278,1969-01-01,78,우수(B),
435,22014080,환경부,울산시(태화교),Ulsansi(Taehwagyo),태화강,울산광역시 중구 성남동 337 (태화교),129.309167,35.552778,2000-01-01,13.1,최적(A),
436,22014082,수자원공사,울산시(구미리),Ulsansi(Gumiri),태화강,울산광역시 울주군 두동면 구미리 566-1번지,129.196111,35.656944,2000-01-01,132,최적(A),
437,22014084,수자원공사,울산시(천전리),Ulsansi(Cheonjeonri),태화강,울산광역시 울주군 두동면 천전리 306,129.168611,35.618611,2000-01-02,93,최적(A),
438,22014090,환경부,울산시(사연교),Ulsansi(Sayeongyo),태화강,울산광역시 울주군 범서읍 사연리 703-1 (사연교),129.204444,35.572222,1962-07-01,31,최적(A),
439,23014010,환경부,양산시(삼호동),Yangsansi(Samhodong),회야강,경상남도 양산시 삼호동 953,129.172222,35.418889,1962-09-01,84.7,우수(B),"관측방법 변경(수위제어식→전도형), 일시운영중지(5."
440,24014010,환경부,영양군(신원리),Yeongyanggun(Sinwonri),낙동강동해,경상북도 영양군 수비면 신원리 330-4 (국도 88호선 ?,129.209722,36.761667,1962-06-01,412.6,최적(A),관측방법 변경(수위제어식→전도형)
441,24034010,수자원공사,경주시(감포댐),Gyeongjusi(Gampodam),낙동강동해,경상북도 경주시 감포읍 오류리 산 16-2,129.509444,35.835,2006-08-01,61.4,우수(B),
442,25034050,수자원공사,거제시(구천댐),Geojesi(Gucheondam),낙동강남해,경상남도 거제시 삼거동 529-4,128.6475,34.847222,1996-07-01,140,우수(B),
443,25034052,수자원공사,거제시(연초댐),Geojesi(Yeonchodam),낙동강남해,경상남도 거제시 연초면 덕치리 107-8번지,128.663889,34.940556,1996-07-01,52,우수(B),
444,25044010,환경부,부산시(을숙도),Busansi(Eulsukdo),낙동강남해,부산광역시 사하구 하단동 1149-6(낙동강홍수통제소),128.948056,35.109722,1974-07-01,15,최적(A),관측소 이설 및 관측소명 변경(부산시(명지초교)→부
445,30014010,환경부,진안군(마을지원센터),Jinan-gun(Maeuljiwonsenteo),금강,전라북도 진안군 진안읍 진무로 975,127.423056,35.783333,1916-01-01,310.94,우수,
446,30014020,환경부,무주군(안성초교),Muju-gun(Anseongchogyo),금강,전라북도 무주군 안성면 칠연로 58,127.655,35.865556,1960-06-01,430.818,우수,
447,30014040,환경부,장수군(장수초교),Jangsu-gun(Jangsuchogyo),금강,전라북도 장수군 장수읍 향교길 11-8,127.522778,35.6475,1962-07-01,424.742,우수,
448,30014080,환경부,진안군(대불리),Jinan-gun(Daebul-ri),금강,전라북도 진안군 주천면 대불리 1138,127.365,35.961667,1973-01-01,391.831,우수,
449,30014120,환경부,무주군(원통사),Muju-gun(Wontongsa),금강,전라북도 무주군 안성면 죽천리 산175-1,127.697222,35.817222,1983-04-01,817.168,우수,
450,30014140,수자원공사,진안군(황금리),Jinangun(Hwanggeumri),금강,전라북도 진안군 부귀면 황금리 산118-9,127.398889,35.861944,1999-06-15,396,최적(A),
451,30014150,수자원공사,진안군(주평리),Jinangun(Jupyeongri),금강,전라북도 진안군 상전면 주평리 579-5,127.484722,35.805278,1999-06-15,334,최적(A),
452,30014160,수자원공사,장수군(장판리),Jangsugun(Jangpanri),금강,전라북도 장수군 천천면 장판리 418-1,127.511111,35.684722,1999-06-15,409,최적(A),
453,30014170,수자원공사,진안군(신괴리),Jinangun(Singoeri),금강,전라북도 진안군 안천면 신괴리 177-1,127.543333,35.869167,1999-06-15,313,최적(A),
454,30014180,수자원공사,장수군(삼봉리),Jangsugun(Sambongri),금강,전라북도 장수군 장계면 삼봉리 748-4,127.598611,35.717778,1999-06-15,422,최적(A),
455,30014190,수자원공사,장수군(원촌리),Jangsugun(Wonchonri),금강,전라북도 장수군 계북면 원촌리 1050-59,127.627222,35.810278,1999-06-15,453,최적(A),
456,30014210,수자원공사,진안군(주양리),Jinangun(Juyangri),금강,전라북도 진안군 주천면 주양리 산17-9,127.423889,35.970556,2000-01-01,303,최적(A),
457,30034010,환경부,무주군(무주중앙초교),Muju-gun(Mujujungangchogyo),금강,전라북도 무주군 무주읍 읍내리 향학로 87,127.663056,36.011944,1916-01-01,217.39,우수,
458,30034020,환경부,무주군(적상초교),Muju-gun(Jeoksangchogyo),금강,전라북도 무주군 적상면 사산리 1235-1,127.656667,35.931667,1973-01-01,266.096,우수,
459,30034030,수자원공사,무주군(삼가리),Mujugun(Samgari),금강,전라북도 무주군 적상면 삼가리 산367-1,127.660278,35.893056,1979-09-15,390,최적(A),
460,30034040,환경부,무주군(구천정수장),Muju-gun(Gucheonjeongsujang),금강,전라북도 무주군 설천면 백련사길 132,127.776944,35.885833,1983-04-01,655.279,우수,
461,30034050,수자원공사,무주군(증산리),Mujugun(Jeungsanri),금강,전라북도 무주군 무풍면 증산리 791-2,127.845,35.949444,1992-07-09,410,최적(A),
462,30034060,수자원공사,무주군(기곡리),Mujugun(Gigokri),금강,전라북도 무주군 설천면 기곡리 408-1,127.715833,36.015556,1999-05-25,240,최적(A),
463,30044030,수자원공사,금산군(선원리),Geumsangun(Seonwonri),금강,충청남도 금산군 부리면 선원리 881-4,127.534444,36.073333,1979-09-15,200,최적(A),
464,30044040,수자원공사,영동군(산막리),Yeongdonggun(Sanmakri),금강,충청북도 영동군 양강면 산막리 산17-1,127.788889,36.114167,1979-09-15,270,최적(A),
465,30054010,환경부,상주시(삼포리),Sangju-si(Sampo-ri),금강,경상북도 상주시 모서면 삼포리 산22-4,127.957778,36.338611,1962-07-01,253.659,우수,
466,30054020,환경부,영동군(궁촌리),Yeongdong-gun(Gungchon-ri),금강,충청북도 영동군 상촌면 궁촌5길 6,127.9175,36.107778,1973-01-01,306.68,최적,솔레노이드 밸브고장에 따라 강수량 미관측(8.19 00:1
467,30054030,수자원공사,영동군(남성리),Yeongdonggun(Namseong),금강,충청북도 영동군 황간면 남성리 산4-1,127.916389,36.235833,1979-09-15,200,최적(A),
468,30054040,환경부,상주시(화동초교),Sangju-si(Hwadongchogyo),금강,경상북도 상주시 화동면 이소1길 78,127.951944,36.392222,1982-08-01,268,우수,관측기기 이상으로 일시에 오버카운팅(강수량이 누적
469,30054050,환경부,상주시(화령초교),Sangju-si(Hwaryeongchogyo),금강,경상북도 상주시 화서면 화령로 57,127.952222,36.4475,1982-08-01,300.873,우수,
470,30054060,환경부,영동군(웅북리),Yeongdong-gun(Ungbuk-ri),금강,충청북도 영동군 추풍령면 웅북리 555-11,128.020278,36.256944,1984-03-05,356.33,우수,
471,30054070,수자원공사,상주시(득수리),Sangjusi(Deuksuri),금강,경상북도 상주시 모서면 득수리 250-1,127.898056,36.334167,1995-05-25,230,최적(A),
472,30054080,수자원공사,영동군(궁촌리2),Yeongdonggun(Gungchonri2),금강,충청북도 영동군 상촌면 궁촌리 128-1,127.925278,36.106667,1995-05-25,335,최적(A),
473,30064020,수자원공사,옥천군(원동리),Okcheongun(Wondongri),금강,충청북도 옥천군 이원면 원동리 산26-2,127.65,36.241667,1979-09-15,175,최적(A),
474,30074010,환경부,옥천군(청산초교),Okcheon-gun(Cheongsanchogyo),금강,충청북도 옥천군 청산면 지전길 36-19,127.794167,36.346111,1960-05-01,117.548,최적,
475,30074030,환경부,보은군(삼산초교),Boeun-gun(Samsanchogyo),금강,충청북도 보은군 보은읍 보은로 109-6,127.716667,36.485,1973-01-01,156.834,최적,
476,30074050,환경부,보은군(관기초교),Boeun-gun(Gwangichogyo),금강,충청북도 보은군 마로면 관기송현로 109,127.821944,36.435556,1982-08-01,148.086,최적,
477,30074060,수자원공사,보은군(구병리),Boeungun(Gubyeongri),금강,충청북도 보은군 속리산면 구병리 산5,127.876389,36.477222,2011-01-06,460,최적(A),
478,30074070,환경부,옥천군(도로관리사업소),Okcheon-gun(Dorogwallisaeopso),금강,충청북도 옥천군 청성면 남부로 3172,127.734167,36.373333,1982-05-01,191.736,우수,
479,30074080,환경부,보은군(동정리),Boeun-gun(Dongjeong-ri),금강,충청북도 보은군 수한면 동정리 75-3,127.664167,36.473611,1982-08-01,216.95,우수,
480,30074090,환경부,보은군(이원리),Boeun-gun(Iwon-ri),금강,충청북도 보은군 내북면 이원리 234-3,127.677778,36.542222,1982-08-01,204.307,우수,
481,30074100,환경부,옥천군(묘금리),Okcheon-gun(Myogeum-ri),금강,충청북도 옥천군 청성면 묘금리 67-2,127.732222,36.275833,1982-08-01,143.521,우수,
482,30074110,환경부,보은군(송죽초교),Boeun-gun(Songjukchogyo),금강,충청북도 보은군 삼승면 남부로 3927,127.734444,36.437222,1982-08-01,152.296,우수,
483,30074130,환경부,보은군(삼가분교),Boeun-gun(Samgabungyo),금강,충청북도 보은군 속리산면 삼가구병길 9,127.860833,36.491111,1982-08-01,266.221,최적,
484,30074140,수자원공사,보은군(신함리),Boeungun(Sinhamri),금강,충청북도 보은군 보은읍 신함리 452-2,127.725278,36.518611,1992-07-09,168,최적(A),
485,30074150,수자원공사,옥천군(산계리),Okcheongun(Sangyeri),금강,충청북도 옥천군 청성면 산계리 1115-1,127.735278,36.313611,1992-07-09,105,최적(A),
486,30074160,수자원공사,부여군(삼산리),Buyeogun(Samsanri),금강서해,충청남도 부여군 외산면 삼산리 84,126.716667,36.342778,2001-09-01,102,최적(A),
487,30084030,환경부,옥천군(안내초교),Okcheon-gun(Annaechogyo),금강,충청북도 옥천군 안내면 현리길 74,127.661667,36.394167,1965-11-01,88.656,최적,
488,30084040,수자원공사,옥천군(대정리),Okcheongun(Daejeongri),금강,충청북도 옥천군 군북면 대정리 832,127.539444,36.387778,1979-09-15,75,최적(A),
489,30084050,수자원공사,금산군(마전리),Geumsangun(Majeonri),금강,충청남도 금산군 추부면 마전리 353-2,127.4675,36.192778,1992-07-09,220,최적(A),
490,30084060,수자원공사,금산군(상곡리),Geumsangun(Sanggokri),금강,충청남도 금산군 군북면 상곡리 268-1,127.574167,36.2075,1992-07-09,250,최적(A),
491,30084070,환경부,청주시(문화재조사연구단),Cheongju-si(Munhwajaejosayeongudan),금강,충청북도 청주시 서원구 현도면 노산2길 3-57,127.444167,36.455,1993-06-01,41.493,우수,
492,30084080,수자원공사,청주시(상장리),Chungjusi(Sangjangri),금강,충청북도 청주시 상당구 문의면 상장리 산1-6,127.506389,36.515278,1995-05-25,85,최적(A),
493,30084090,수자원공사,옥천군(인포리),Okcheongun(Inpori),금강,충청북도 옥천군 안내면 인포리 390-2,127.653889,36.372222,1995-05-25,80,최적(A),
494,30094010,환경부,금산군(신대리),Geumsan-gun(Sindae-ri),금강,충청남도 금산군 복수면 신대리 448,127.379167,36.213889,1993-06-01,115.577,우수,강수량관측기기 배출밸브 고장에 따라 강수량 미관측
495,30094020,환경부,대전시(원촌교),Daejeon-si(Wonchongyo),금강,대전광역시 대덕구 대화동 원촌교,127.41,36.378333,1993-06-01,43.798,우수,
496,30094030,환경부,대전시(두계교),Daejeon-si(Dugyegyo),금강,대전광역시 유성구 방동 두계교,127.278889,36.266389,2001-05-01,102.898,우수,
497,30094040,환경부,대전시(만년교),Daejeon-si(Mannyeongyo),금강,대전광역시 서구 월평동 만년교,127.349722,36.351667,2001-05-01,52.492,우수,
498,30094050,환경부,대전시(인창교),Daejeon-si(Inchanggyo),금강,대전광역시 동구 인동 인창교,127.434444,36.323611,2001-05-01,57.712,우수,
499,30104010,환경부,세종시(부강면사무소),Sejong-si(Bugangmyeonsamuso),금강,세종특별자치시 부강면 부강5길 38,127.371111,36.529167,1960-05-01,38.006,우수,
500,30114010,환경부,천안시(병천초교),Cheonan-si(Byeongcheonchogyo),금강,충청남도 천안시 병천면 병천2로 35,127.3,36.765,1960-06-01,71.239,우수,
501,30114020,환경부,청주시(흥덕교),Cheongju-si(Heungdeokgyo),금강,충청북도 청주시 흥덕구 운천동 흥덕교,127.481389,36.646667,1993-06-01,49.67,우수,
502,30114030,환경부,진천군(진천여중),Jincheon-gun(Jincheonyeojung),금강,충청북도 진천군 진천읍 성석리 산8-6,127.456111,36.869167,1966-09-01,90.272,우수,관측소 이설공사 및 관측기기 이상으로 일시운영 중지
503,30114040,환경부,청주시(가덕초교),Cheongju-si(Gadeokchogyo),금강,충청북도 청주시 상당구 가덕면 병암리 97-1,127.5775,36.578056,1971-07-01,131.773,우수,
504,30114050,환경부,음성군(대소보건지소),Eumseong-gun(Daesobogeonjiso),금강,충청북도 음성군 대소면 오태로 57-16,127.483889,36.9725,1973-01-01,100.837,우수,
505,30114060,환경부,증평군(반탄교),Jeungpyeong-gun(Bantangyo),금강,충청북도 증평군 증평읍 초중리 518(반탄교),127.5725,36.783611,1973-01-01,57.202,우수,
506,30114070,환경부,세종시(농정원),Sejong-si(Nongjeongwon),금강,세종특별자치시 조치원읍 군청로 87-16,127.2925,36.5925,1993-06-01,57.185,우수,
507,30114090,환경부,음성군(쌍봉리),Eumseong-gun(Ssangbong-ri),금강,충청북도 음성군 금왕면 쌍봉리 488,127.555278,37.002778,2006-01-01,126.765,우수,
508,30114100,환경부,천안시(화청교),Cheonan-si(Hwacheonggyo),금강,충청남도 천안시 동면 화덕리 650,127.398056,36.761944,2006-01-01,106.98,우수,
509,30124010,환경부,공주시(금강교),Gongju-si(Geumganggyo),금강,충청남도 공주시 신관동 금강교입구,127.127778,36.470278,1913-07-01,25.28,우수,
510,30124020,환경부,부여군(홍산초교),Buyeo-gun(Hongsanchogyo),금강,충청남도 부여군 홍산면 홍산로111번길 7,126.7625,36.2175,1916-11-01,34.849,우수,
511,30124040,환경부,청양군(청양읍사무소),Cheongyang-gun(Cheongyangeupsamuso),금강,충청남도 청양군 청양읍 칠갑산로9길 32,126.806667,36.453611,1929-09-01,101.257,우수,
512,30124050,환경부,청양군(119안전센터),Cheongyang-gun(119anjeonsenteo),금강,충청남도 청양군 정산면 용두리 76-8,126.94,36.418056,1960-06-01,67,우수,
513,30124060,환경부,공주시(정안면사무소),Gongju-si(Jeonganmyeonsamuso),금강,충청남도 공주시 정안면 정안중앙길 157,127.120278,36.608611,1960-06-01,71.293,우수,송화가루 유입에 따른 강수량 미관측(4.29 00:10 ~ 5.
514,30124070,환경부,공주시(반포중),Gongju-si(Banpojung),금강,충청남도 공주시 반포면 원당1길 28,127.243056,36.403611,1960-06-01,84.899,우수,
515,30124080,환경부,공주시(복룡리),Gongju-si(Bokryong-ri),금강,충청남도 공주시 이인면 복룡리 562-4,127.068056,36.345556,1973-01-01,84.182,우수,
516,30124090,환경부,부여군(백제교),Buyeo-gun(Baekjegyo),금강,충청남도 부여군 규암면 규암리 백제교,126.891667,36.275833,1993-06-01,20.665,우수,
517,30124100,환경부,공주시(유구초교),Gongju-si(Yuguchogyo),금강,충청남도 공주시 유구읍 석남리 196-1,126.950556,36.553611,1993-06-01,67.473,우수,
518,30124110,환경부,세종시(문성교),Sejong-si(Munseonggyo),금강,세종특별자치시 장군면 평기리 349-9,127.196111,36.514722,2006-01-01,44.102,우수,
519,30134010,환경부,논산시(연산중),Nonsan-si(Yeonsanjung),금강,충청남도 논산시 연산면 청동로 113-14,127.206944,36.213333,1960-07-01,46.966,우수,
520,30134020,환경부,완주군(장선초교),Wanju-gun(Jangseonchogyo),금강,전라북도 완주군 운주면 장선리 505-1,127.279167,36.091111,1973-06-01,82.367,우수,
521,30134040,환경부,논산시(동산초교),Nonsan-si(Dongsanchogyo),금강,충청남도 논산시 양촌면 황산벌로 436번길 43-4,127.241667,36.140278,1993-06-01,56.276,우수,
522,30134050,환경부,논산시(토양리),Nonsan-si(Toyang-ri),금강,충청남도 논산시 은진면 토양리 69(도),127.1025,36.149167,2006-01-01,16.796,우수,
523,30144010,환경부,논산시(황산리),Nonsan-si(Hwangsan-ri),금강,충청남도 논산시 강경읍 금백로 45,127.008611,36.154444,1911-06-01,14.792,우수,
524,30144020,환경부,익산시(함열초교),Iksan-si(Hamyeolchogyo),금강,전라북도 익산시 함열읍 함열8길 2,126.965278,36.079722,1962-06-01,17.321,우수,
525,30144030,환경부,서천군(망월리),Seocheon-gun(Mangwol-ri),금강,충청남도 서천군 화양면 망월리 2-1,126.756944,36.029444,1993-06-01,14.991,우수,
526,30144040,환경부,서천군(충남디자인예술고),Seocheon-gun(Chungnamdijainyesulgo),금강,충청남도 서천군 한산면 한마로 114,126.803611,36.089167,1993-06-01,16.626,우수,
527,30144050,환경부,익산시(연동리),Iksan-si(Yeondong-ri),금강,전라북도 익산시 삼기면 연동리 산1-1,127.035,36.033889,1993-06-01,317.601,우수,
528,31014010,환경부,홍성군(홍성초교),Hongseong-gun(Hongseongchogyo),삽교천,충청남도 홍성군 홍성읍 조양로 43,126.657778,36.599722,1918-07-01,51.3,우수,
529,31014020,환경부,예산군(예산국토),Yesan-gun(Yesangukto),삽교천,충청남도 예산군 오가면 오가중앙로 69,126.797778,36.689722,1933-09-01,19.716,우수,
530,31014030,환경부,예산군(덕산면사무소),Yesan-gun(Deoksanmyeonsamuso),삽교천,충청남도 예산군 덕산면 덕산온천로 391,126.665278,36.701389,1957-03-01,55.103,우수,
531,31014090,환경부,당진시(순성초교),Dangjin-si(Sunseongchogyo),삽교천,충청남도 당진시 순성면 순성로 473,126.711667,36.843333,1999-01-01,33.169,우수,
532,31014100,환경부,청양군(가남초교),Cheongyang-gun(Ganamchogyo),삽교천,충청남도 청양군 비봉면 록평리 28-9,126.788056,36.515833,1999-01-01,56.265,우수,
533,31014110,환경부,예산군(신양리),Yesan-gun(Sinyang-ri),삽교천,충청남도 예산군 신양면 신양리 434,126.861111,36.599722,1999-01-01,38.197,우수,
534,31014120,환경부,아산시(초사초교),Asan-si(Chosachogyo),삽교천,충청남도 아산시 초사길 122,126.973333,36.751389,1999-01-01,45.327,우수,송화가루 유입에 따른 강수량 미측정으로 결측처리(5.
535,31014130,환경부,아산시(동방초교),Asan-si(Dongbangchogyo),삽교천,충청남도 아산시 배방읍 휴대세교길 7-7,127.113333,36.779722,1999-01-01,30.185,우수,
536,31014140,환경부,천안시(신흥교),Cheonan-si(Sinheunggyo),삽교천,충청남도 천안시 동남구 광덕면 매당리 신흥교,127.113333,36.703056,2004-12-01,55.288,우수,송화가루 유입에 따른 강수량 미측정 결측처리(5.10 0
537,31014150,환경부,아산시(강청교),Asan-si(Gangcheonggyo),삽교천,충청남도 아산시 염치읍 강청리 강청교,126.933611,36.821667,2005-01-01,15.363,우수,강수량 과다관측에 따른 기기이상 추정(9.1 00:10 ~ 9
538,31014192,환경부,예산군(은사교),Yesan-gun(Eunsagyo),삽교천,충청남도 예산군 광시면 용두리 은사교,126.779167,36.560833,2010-01-01,33.497,우수,
539,32034010,환경부,보령시(미산면사무소),Boryeong-si(Misanmyeonsamuso),금강서해,충청남도 보령시 미산면 내평리 357-2,126.6775,36.210833,1968-07-01,89.53,우수,
540,32034020,환경부,보령시(미산초교),Boryeong-si(Misanchogyo),금강서해,충청남도 보령시 미산면 도화담리 94,126.677778,36.288611,1973-01-01,85.562,우수,
541,32034050,수자원공사,보령시(보령댐),Boryeongsi(Boryoungdam),금강서해,충청남도 보령시 미산면 용수리 산39-1,126.648611,36.249722,1998-03-26,80,우수(B),
542,32034060,수자원공사,보령시(도화담리),Boryeongsi(Dohwadamri),금강서해,충청남도 보령시 미산면 도화담리 79,126.678611,36.29,1998-03-26,60,최적(A),
543,33014010,환경부,완주군(고산중교),Wanjugun(Gosanjunggyo),만경강,전라북도 완주군 고산면 읍내리 744-1,127.208333,35.978611,1916-01-01,57.7,B,(관측소명 변경) 고산 → 완주군(고산중교)
544,33014020,환경부,군산시(임피초교),Gunsansi(Impichogyo),만경강,전라북도 군산시 임피면 읍내리 536,126.848889,35.9875,1962-07-01,25.1,A,(관측소명 변경) 임피 → 군산시(임피초교)
545,33014070,환경부,완주군(구이초교),Wanjugun(Guichogyo),만경강,전라북도 완주군 구이면 항가리 86-1,127.12,35.720278,1997-01-01,71.6,B,(관측소명 변경) 구이 → 완주군(구이초교)
546,33014080,환경부,김제시(용지초교),Gimjesi(Yongjichogyo),만경강,전라북도 김제시 용지면 구암리 117-4,126.958889,35.854722,1999-12-01,22.9,A,(관측소명 변경) 용지 → 김제시(용지초교)
547,33014090,환경부,익산시(미륵초교),Iksan(Mireukchogyo),만경강,전라북도 익산시 금마면 용순리 645-1,127.0225,36.001389,1999-12-01,31.6,A,(관측소명 변경) 금마 → 익산시(미륵초교)
548,33014100,환경부,전주시(미산교),Jeonjusi(Misangyo),만경강,전라북도 전주시 덕진구 전미동2가 1384-10,127.0975,35.879444,2000-01-01,21.4,A,(관측소명 변경) 전주 → 전주시(미산교)
549,33014110,환경부,완주군(용봉교),Wanjugun(Yongbonggyo),만경강,전라북도 완주군 봉동읍 장기리 111-6,127.170833,35.941944,2000-01-01,38.4,A,(관측소명 변경) 봉동 → 완주군(용봉교)
550,33014120,환경부,완주군(용진초교),Wanjugun(Yongjinchogyo),만경강,전라북도 완주군 용진읍 상삼리 1195-8,127.175556,35.857222,1999-12-01,39.9,B,(관측소명 변경) 용진 → 완주군(용진초교)
551,33024020,환경부,김제시(금구초교),Gimjesi(Geumguchogyo),동진강,전라북도 김제시 금구면 금구리 173,127.013056,35.774167,1962-07-01,48.9,B,(관측소명 변경) 금구 → 김제시(금구초교)
552,33024030,환경부,정읍시(고부초교),Jeongeupsi(Gobuchogyo),동진강,전라북도 정읍시 고부면 고부리 168-4,126.771389,35.621389,1962-08-01,31.5,A,(관측소명 변경) 고부 → 정읍시(고부초교)
553,33024040,환경부,김제시(김제중앙중교),Gimjesi(Gimjejungangjunggyo),동진강,전라북도 김제시 백산면 하정리 112,126.888889,35.828333,1962-11-01,23.1,A,(관측소명 변경) 김제 → 김제시(김제중앙중교)
554,33024050,환경부,정읍시(태인중교),Jeongeupsi(Taeinjunggyo),동진강,전라북도 정읍시 태인면 태성리 627-20,126.937222,35.653889,1968-01-01,25.2,A,(관측소명 변경) 태인 → 정읍시(태인중교)
555,33024070,환경부,정읍시(산외중교),Jeongeupsi(Sanoejunggyo),동진강,전라북도 정읍시 산외면 정량리 1175-1,127.044722,35.618889,2000-06-01,60.8,A,(관측소명 변경) 산외 → 정읍시(산외중교)
556,33024080,환경부,정읍시(정읍북초교),Jeongeupsi(Jeongeupbukchogyo),동진강,전라북도 정읍시 농소동 12-24,126.849444,35.578611,2000-06-01,33.4,A,(관측소명 변경) 정읍 → 정읍시(정읍북초교)
557,33034030,수자원공사,부안군(부안댐),Buangun(Buandam),금강서해,전라북도 부안군 변산면 중계리 537-1,126.563333,35.675,1996-06-01,20,최적(A),
558,33034040,수자원공사,부안군(부안청림천문대),Buangun(Buancheongrimcheonmundae),금강서해,전라북도 부안군 상서면 청림리 523-3,126.614722,35.6575,2014-10-19,54.1,최적(A),
559,40014050,수자원공사,순창군(시산리),Sunchanggun(Sisanri),섬진강,전라북도 순창군 쌍치면 시산리 산36-2,126.971944,35.488611,1990-12-15,350,최적(A),
560,40014060,수자원공사,임실군(용암리),Imsilgun(Yongamri),섬진강,전라북도 임실군 신평면 용암리 산119-3,127.188333,35.642778,1990-12-15,265,최적(A),
561,40014070,수자원공사,진안군(도통리),Jinangun(Dotongri),섬진강,전라북도 진안군 성수면 도통리 915-6,127.343056,35.712778,1990-12-15,420,최적(A),
562,40024020,수자원공사,임실군(섬진강댐),Imsilgun(Seomjingangdam),섬진강,전라북도 임실군 강진면 용수리 311-2,127.111667,35.542222,1990-12-15,220,최적(A),
