no_1,obs_code,manageme_1,name_K_1,name_E_1,watershe_1,address_1,long,lat_1,start_1,Ele,level_1,remark_1
298,20084070,환경부,군위군(대율초교),Gunwigun(Daeyulchogyo),낙동강,경상북도 군위군 부계면 대율리 644-1 (대율초교),128.655278,36.062778,1982-07-03,214.4,우수(B),관측방법 변경(수위제어식→전도형)
299,20084090,환경부,군위군(산성중학교),Gunwigun(Sanseongjunggyo),낙동강,경상북도 군위군 산성면 화본리 826-1 (산성중학교),128.696944,36.127778,1982-07-03,142.8,최적(A),"관측방법 변경(수위제어식→전도형), 일시운영중지(11"
300,20084100,환경부,군위군(화수리),Gunwigun(Hwasuri),낙동강,경상북도 군위군 고로면 화수리 937-5,128.751944,36.127222,1982-07-03,150,최적(A),
301,20084110,환경부,군위군(고로면),Gunwigun(Goromyeon),낙동강,경상북도 군위군 고로면 화수리 334,128.753611,36.113333,1982-07-03,209,우수(B),관측방법 변경(수위제어식→전도형)
302,20084130,환경부,군위군(읍내리),Gunwigun(Eumnaeri),낙동강,경상북도 군위군 의흥면 읍내리 434-18,128.714722,36.176389,1982-07-03,134,최적(A),
303,20084140,환경부,의성군(도원리),Uiseonggun(Dowonri),낙동강,경상북도 의성군 봉양면 도원리 460 (의성IC 진출입로,128.578611,36.286111,1998-03-01,61.4,최적(A),
304,20084150,환경부,군위군(무성리),Gunwigun(Museongri),낙동강,경상북도 군위군 군위읍 무성리 821-2,128.564167,36.193889,2005-01-24,87.5,최적(A),관측방법 변경(수위제어식→전도형)
305,20084160,환경부,군위군(미성교),Gunwigun(Miseonggyo),낙동강,경상북도 군위군 우보면 이화리 575-9 (미성교),128.672222,36.181667,2005-01-24,109.9,최적(A),관측방법 변경(수위제어식→전도형)
306,20084170,수자원공사,군위군(군위댐),Gunwigun(Gunwidam),낙동강,경상북도 군위군 고로면 삼국유사로 418,128.793889,36.122222,2010-01-02,201,우수(B),
307,20084180,수자원공사,군위군(양지리),Gunwigun(Yangjiri),낙동강,경상북도 군위군 고로면 양지리 497-5,128.826944,36.166667,1982-07-30,212,우수(B),
308,20094010,환경부,의성군(낙단교),Uiseonggun(Nakdangyo),낙동강,경상북도 의성군 단밀면 낙정리 806 (낙단교),128.301111,36.3575,1995-04-01,47.8,최적(A),
309,20094020,환경부,구미시(일선교),Gumisi(Ilseongyo),낙동강,경상북도 구미시 도개면 신림리 775 (일선교),128.342778,36.273056,1996-10-15,41,최적(A),일시운영중지(8.8)
310,20104010,환경부,김천시(부곡동),Gimcheonsi(Bugokdong),낙동강,경상북도 김천시 부곡동 41-1,128.108889,36.120278,1915-12-01,135,최적(A),
311,20104020,환경부,김천시(지례면사무소),Gimcheonsi(Jiryemyeonsamuso),낙동강,경상북도 김천시 지례면 교리 570-1 (지례면사무소),128.026667,35.984722,1961-08-01,149.7,최적(A),관측방법 변경(수위제어식→전도형)
312,20104030,수자원공사,김천시(월곡리),Gimcheonsi(Wolgokri),낙동강,경상북도 김천시 부항면 월곡리 626-4,127.941667,35.985278,2010-07-11,450,최적(A),
313,20104040,수자원공사,김천시(파천리),Gimcheonsi(Pacheonri),낙동강,경상북도 김천시 부항면 파천리 1141-1,127.921944,36.025,2010-07-11,282,최적(A),
314,20104050,환경부,구미시(선주교),Gumisi(Seonjugyo),낙동강,경상북도 구미시 선산읍 화조리 581-6 (선주교),128.308889,36.227778,1980-01-01,45.9,최적(A),일시운영중지(8.21~22)
315,20104060,수자원공사,김천시(김천부항댐),Gimcheonsi(Gimcheonbuhangdam),낙동강,경상북도 김천시 지례면 도곡리 1005-1,128.005833,35.981389,2012-11-26,206,우수(B),
316,20114010,환경부,칠곡군(호국의다리),Chilgokgun(Hogukgyo),낙동강,경상북도 칠곡군 왜관읍 석전리 872 (호국의 다리),128.394444,36.000278,1927-06-01,31.1,최적(A),
317,20114020,환경부,구미시(장천초교),Gumisi(Jangcheonchogyo),낙동강,경상북도 구미시 장천면 하장리 503-2 (장천초교),128.495556,36.130556,1962-11-01,56.5,최적(A),일시운영중지(5.20)
318,20114030,환경부,성주군(성주대교),Seongjugun(Seongjudaegyo),낙동강,경상북도 성주군 선남면 선원리 5-3 (성주대교),128.390278,35.880833,1995-04-01,36.3,최적(A),
319,20114040,환경부,구미시(구미대교),Gumisi(Gumidaegyo),낙동강,경상북도 구미시 임수동 550-1 (구미대교),128.396667,36.110833,1996-10-15,43.9,최적(A),
320,20124010,환경부,영천시(영동교),Yeongcheonsi(Yeongdonggyo),낙동강,경상북도 영천시 완산동 1269-1(영동교),128.938611,35.968889,1962-01-01,78,최적(A),관측방법 변경(수위제어식→전도형)
321,20124020,환경부,포항시(죽장초교),Pohangsi(Jukjangchogyo),낙동강,경상북도 포항시 북구 죽장면 입암리 730-1 (죽장초교,129.091111,36.160278,1961-08-01,205,최적(A),"관측방법 변경(수위제어식→전도형), 일시운영중지(5."
322,20124030,환경부,영천시(화성리),Yeongcheonsi(Hwaseongri),낙동강,경상북도 영천시 신령면 화성리 131-3,128.795833,36.046111,1962-11-01,146,최적(A),
323,20124035,수자원공사,포항시(가사리),Pohangsi(Gasari),낙동강,경상북도 포항시 북구 죽장면 가사리 387,129.150833,36.194444,1996-11-01,326,우수(B),
324,20124037,수자원공사,포항시(죽장면),Pohangsi(Jukjangmyeon),낙동강,경상북도 포항시 북구 죽장면 현내리 552-1,129.070556,36.185556,1996-11-01,266,우수(B),
325,20124040,환경부,경산시(자인중학교),Gyeongsansi(Jainjunggyo),낙동강,경상북도 경산시 자인면 북사리 242 (자인중학교),128.821667,35.820278,1964-09-01,91.3,최적(A),
326,20124070,환경부,영천시(치산리),Yeongcheonsi(Chisanri),낙동강,경상북도 영천시 신령면 치산리 1950,128.723333,36.059444,1982-07-03,197.7,최적(A),
327,20124080,환경부,대구시(오리),Daegusi(Ori),낙동강,대구광역시 달성군 가창면 오리 산110,128.600556,35.783889,1988-01-01,255.2,최적(A),"관측방법 변경(수위제어식→전도형), 일시운영중지(4."
328,20124090,환경부,대구시(신암동),Daegusi(Sinamdong),낙동강,대구광역시 동구 불로동 1107-1 (보성2차APT앞),128.634444,35.891667,1988-01-01,39,최적(A),
329,20124100,환경부,영천시(정각리),Yeongcheonsi(Jeonggakri),낙동강,경상북도 영천시 화북면 정각리 336,128.994167,36.13,1988-01-01,390.3,우수(B),
330,20124118,수자원공사,영천시(영천댐),Yeongcheonsi(Youngcheondam),낙동강,경상북도 영천시 자양면 성곡리 113-12,129.0325,36.08,1995-09-01,162,우수(B),
331,20124120,환경부,영천시(가수리),Yeongcheonsi(Gasuri),낙동강,경상북도 영천시 고경면 가수리 232-14,129.078056,36.001667,1995-10-01,122.9,최적(A),
332,20124130,환경부,영천시(금창교),Yeongcheonsi(Geumchanggyo),낙동강,경상북도 영천시 금호읍 교대리 661 (금창교),128.875556,35.930556,1996-10-15,65.9,최적(A),관측방법 변경(수위제어식→전도형)
333,20124150,환경부,대구시(성동교),Daegusi(Seongdonggyo),낙동강,대구광역시 수성구 성동 566-1 (성동교),128.723611,35.851944,2000-07-08,44.3,최적(A),
334,20124160,환경부,칠곡군(금암리),Chilgokgun(Geumamri),낙동강,경상북도 칠곡군 동명면 금암리 225-15,128.555833,35.983056,2002-01-01,77,최적(A),"일시운영중지(5.16~20, 7.3~6)"
335,20124170,환경부,경산시(와촌초교),Gyeongsansi(Wachonchogyo),낙동강,경상북도 경산시 와촌면 동강리 91 (와촌초교),128.8375,35.950556,2002-01-01,65.5,최적(A),일시운영중지(11.27~12.9)
336,20124190,수자원공사,포항시(지동리),Pohangsi(Jidongri),낙동강,경상북도 포항시 북구 죽장면 지동리 산49-5,129.066111,36.136667,2004-08-02,405,우수(B),
337,20124200,수자원공사,영천시(보현산댐),Yeongcheonsi(Bohyeonsandam),낙동강,경상북도 영천시 화북면 입석리 산2-1,128.948889,36.1275,2014-07-01,251.8,우수(B),
338,20124210,수자원공사,영천시(굼이교),Yeongcheonsi(Gumyigyo),낙동강,경상북도 영천시 화북면 하송리 595,128.922778,36.149444,2014-07-01,250.8,우수(B),
339,20134010,환경부,고령군(회천교),Goryeonggun(Hoecheongyo),낙동강,경상북도 고령군 고령읍 장기리 331 (회천교),128.277778,35.729167,1962-06-01,36,최적(A),
340,20134020,환경부,합천군(야로면사무소),Hapcheongun(Yaromyeonsamuso),낙동강,경상남도 합천군 야로면 구정리 290-1 (야로면사무소),128.167778,35.705278,1962-11-01,120.7,최적(A),
341,20134030,환경부,성주군(옥화리),Seongjugun(Okhwari),낙동강,경상북도 성주군 대가면 옥화리 358-1,128.188333,35.893611,1988-01-01,144.5,우수(B),
342,20134040,환경부,성주군(신파리),Seongjugun(Sinpari),낙동강,경상북도 성주군 수륜면 신파리 산78 (국도59호선 일?,128.166944,35.815,1998-03-01,391.2,우수(B),"일시운영중지(3.1~2, 3.12, 3.27, 4.3~4, 4.12~13)"
343,20144010,환경부,대구시(성하리),Daegusi(Seonghari),낙동강,대구광역시 달성군 현풍면 성하리 274 (현풍휴게소 뒤,128.434167,35.702778,1993-01-01,29.3,최적(A),관측방법 변경(수위제어식→전도형)
344,20144020,환경부,대구시(사문진교),Daegusi(Samunjingyo),낙동강,대구광역시 달성군 화원면 성산리 744-11 (사문진교),128.474167,35.812222,1995-04-01,36.9,최적(A),
345,20144030,환경부,고령군(고령교),Goryeonggun(Goryeonggyo),낙동강,경상북도 고령군 성산면 삼대리 112-3 (고령교),128.386944,35.752778,1996-10-15,33.7,최적(A),
346,20154010,환경부,거창군(산포리),Geochanggun(Sanpori),낙동강,경상남도 거창군 웅양면 산포리 1928-2,127.918889,35.824444,1926-11-01,366.7,우수(B),
347,20154020,환경부,거창군(병곡리),Geochanggun(Byeonggokri),낙동강,경상남도 거창군 북상면 병곡리 663-2,127.781944,35.802778,1984-04-03,464.8,우수(B),
348,20154030,수자원공사,거창군(농산리),Geochanggun(Nongsanri),낙동강,경상남도 거창군 북상면 농산리 476-1,127.81,35.772222,1987-10-01,348,최적(A),
349,20154040,수자원공사,거창군(거열교),Geochanggun(Geoyeolgyo),낙동강,경상남도 거창군 거창읍 송정리 40,127.897778,35.683056,1987-10-01,200,최적(A),
350,20154050,수자원공사,거창군(노현리),Geochanggun(Nohyeonri),낙동강,경상남도 거창군 웅양면 노현리 975-4,127.908056,35.810833,1987-10-01,360,최적(A),
351,20154060,수자원공사,거창군(덕산리),Geochanggun(Deoksanri),낙동강,경상남도 거창군 신원면 덕산리 214-1,127.913611,35.602778,1987-10-01,588,최적(A),
352,20154070,수자원공사,거창군(우혜리),Geochanggun(Uhyeri),낙동강,경상남도 거창군 가북면 우혜리 1948-3,127.989444,35.761389,1992-07-15,385,최적(A),
353,20154080,수자원공사,거창군(지산교),Geochanggun(Jisangyo),낙동강,경상남도 거창군 가조면 기리 1579,128.014444,35.666111,1992-07-15,235,최적(A),
354,20164020,환경부,합천군(남정교),Hapcheongun(Namjeonggyo),낙동강,경남 합천군 대양면 정양리 613 (남정교),128.161667,35.5575,1987-10-01,40,우수(B),
355,20164030,환경부,합천군(황강교),Hapcheongun(Hwangganggyo),낙동강,경상남도 합천군 적중면 죽고리 922-1 (황강교),128.292778,35.571944,1996-08-01,26.8,최적(A),
356,20174010,환경부,창녕군(본초리),Changnyeonggun(Bonchori),낙동강,경상남도 창녕군 대지면 본초리 284-9,128.453056,35.530556,1962-06-01,20.9,최적(A),
357,20174020,환경부,의령군(부림면사무소),Uiryeonggun(Burimmyeonsamuso),낙동강,경상남도 의령군 부림면 신반리 545-2 (부림면사무소),128.324722,35.466389,1962-11-01,33.3,최적(A),
358,20174030,환경부,의령군(청계리),Uiryeonggun(Cheonggyeri),낙동강,경상남도 의령군 봉수면 청계리 34-1,128.236389,35.478611,1988-01-01,106.3,최적(A),
359,20174040,환경부,합천군(적포교),Hapcheongun(Jeokpogyo),낙동강,경상남도 합천군 청덕면 앙진리 1 (적포교),128.359167,35.5275,1996-10-15,27.2,최적(A),
360,20184060,환경부,남원시(화수리),Namwonsi(Hwasuri),낙동강,전라북도 남원시 운봉읍 화수리 751-2,127.551667,35.45,1965-03-01,452,최적(A),
361,20184070,환경부,함양군(중남리),Hamyanggun(Jungnamri),낙동강,경상남도 함양군 서상면 중남리 897-1,127.673611,35.706111,1961-08-01,560.2,우수(B),
362,20184100,환경부,산청군(홍계리),Sancheonggun(Honggyeri),낙동강,경상남도 산청군 삼장면 홍계리 1058-5,127.841944,35.351389,1965-10-01,197.9,우수(B),"관측방법 변경(수위제어식→전도형), 일시운영중지(5."
363,20184110,환경부,산청군(상중리),Sancheonggun(Sangjungri),낙동강,경상남도 산청군 차황면 상중리 458,127.930556,35.481111,1965-10-01,345.7,최적(A),
364,20184130,수자원공사,산청군(경호교),Sancheonggun(Gyunghogyo),낙동강,경상남도 산청군 산청읍 산청리 349,127.874444,35.417778,1987-06-01,130,우수(B),
365,20184140,수자원공사,산청군(창촌리),Sancheonggun(Changchonri),낙동강,경상남도 산청군 단성면 창촌리 산1-5,127.8925,35.27,1994-11-01,85,최적(A),
366,20184150,환경부,함양군(삼정리),Hamyanggun(Samjeongri),낙동강,경상남도 함양군 마천면 삼정리 산115,127.641944,35.359722,1985-03-01,567.8,우수(B),
367,20184160,환경부,산청군(동당리),Sancheonggun(Dongdangri),낙동강,경상남도 산청군 시천면 동당리 573-5,127.776389,35.272222,1985-03-01,279.5,최적(A),
368,20184170,수자원공사,합천군(소오리),Hapcheongun(Sohori),낙동강,경상남도 합천군 삼가면 소오리 451-1,128.1175,35.413889,1994-11-01,80,최적(A),
369,20184180,수자원공사,남원시(운봉읍),Namwonsi(Unbongeup),낙동강,전라북도 남원시 운봉읍 화수리 145-215,127.563611,35.448056,1994-11-01,520,최적(A),
370,20184190,수자원공사,함양군(의탄리),Hamyanggun(Uitanri),낙동강,경상남도 함양군 마천면 의탄리 1281,127.682778,35.401667,2011-12-05,260,최적(A),
371,20184200,수자원공사,함양군(금천리),Hamyanggun(Gumchunri),낙동강,경상남도 함양군 안의면 금천리 80-2,127.815278,35.6275,1994-11-01,200,최적(A),
372,20184210,수자원공사,남원시(덕동리),Namwonsi(Dukdongri),낙동강,전라북도 남원시 산내면 덕동리 802,127.547222,35.348333,1994-11-01,630,최적(A),
373,20184220,수자원공사,남원시(의지리),Namwonsi(Uijiri),낙동강,전라북도 남원시 아영면 의지리 산25-2,127.615556,35.525833,1994-11-01,480,최적(A),
374,20184230,수자원공사,함양군(운곡리),Hamyanggun(Ungokri),낙동강,경상남도 함양군 서하면 운곡리 364,127.681389,35.637778,1994-11-01,360,최적(A),
375,20184240,수자원공사,산청군(내대리),Sancheonggun(Naedaeri),낙동강,경상남도 산청군 시천면 내대리 1043-22,127.723611,35.281944,1987-04-01,660,최적(A),
376,20184250,수자원공사,함양군(용평리),Hamyanggun(Yongpyungri),낙동강,경상남도 함양군 함양읍 용평리 915-88,127.731389,35.513611,1994-11-01,180,최적(A),
377,20184260,수자원공사,산청군(내원리),Sancheonggun(Naeoneri),낙동강,경상남도 산청군 삼장면 내원리 110,127.786389,35.314722,1987-06-01,640,최적(A),
378,20184270,수자원공사,함양군(화촌리),Hamyanggun(Hwachonri),낙동강,경상남도 함양군 유림면 화촌리 1074-1,127.791111,35.464444,1994-11-01,135,최적(A),
