no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
475,2301640,수자원공사,울산시(선암댐),Ulsansi(Seonamdam),낙동강동해,-,울산광역시 남구 선암동 236,129.330833,35.516667
476,2301650,환경부,울산시(동천1교),Ulsansi(Dongcheon1gyo),회야강,회야강,울산광역시 울주군 온양읍 망양리 725-1 (동천1교),129.290833,35.460833
477,2301670,환경부,울산시(덕신교),Ulsansi(Deoksingyo),회야강,회야강,울산광역시 울주군 온산읍 덕신리 980-1 (덕신교),129.304167,35.434167
478,2302650,환경부,부산시(원동교),Busansi(Wondonggyo),낙동강동해,수영강,부산광역시 해운대구 반여동 1475-8 (원동교),129.114167,35.193889
479,2302695,수자원공사,부산시(신평동),Busansi(Sinpyeongdong),낙동강,낙동강,부산광역시 사하구 신평동 1,128.953889,35.091111
480,2401620,수자원공사,울진군(구산리),Uljingun(Gusanri),낙동강동해,왕피천,경상북도 울진군 근남면 구산리 450-4,129.373056,36.951944
481,2401650,환경부,울진군(수산교),Uljingun(Susangyo),낙동강동해,왕피천,경상북도 울진군 근남면 노음리 322-2 (수산교),129.398056,36.965833
482,2401690,환경부,영덕군(인량교),Yeongdeokgun(Illyanggyo),낙동강동해,송천,경상북도 영덕군 영해면 원구리 390-3 (인량교),129.3775,36.548889
483,2402620,수자원공사,영덕군(대지리),Yeongdeokgun(Daejiri),낙동강동해,대서천,경상북도 영덕군 달산면 대지리 881-13,129.3075,36.393056
484,2402630,환경부,영덕군(영덕대교),Yeongdeokgun(Yeongdeokdaegyo),영덕오십천,영덕오십천,경상북도 영덕군 영덕읍 남산리 875 ((구)영덕대교),129.373333,36.4025
485,2403610,수자원공사,경주시(감포댐),Gyeongjusi(Gampodam),낙동강동해,대중천,경상북도 경주시 감포읍 오류리 산 16-2,129.509444,35.835
486,2503620,수자원공사,거제시(연초댐),Geojesi(Yeonchodam),낙동강남해,연초천,경상남도 거제시 연초면 덕치리 산25-1,128.666667,34.939722
